2026-02-05T09:08:41.4168658Z | Correlation=6e8eda76fc9b4193a06d6f6aea52dc59 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:08:41.4545409Z | Correlation=6e8eda76fc9b4193a06d6f6aea52dc59 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:08:53.8043366Z | Correlation=6e8eda76fc9b4193a06d6f6aea52dc59 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:08:53.8144321Z | Correlation=aa0ab2af84364015b9cc9d61420a994e | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:08:53.8179030Z | Correlation=aa0ab2af84364015b9cc9d61420a994e | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:08:54.1382354Z | Correlation=aa0ab2af84364015b9cc9d61420a994e | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:09:01.8039076Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:01.8114077Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:09:02.1295695Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:09:04.3239267Z | Correlation=5ff125e3118445a694838bc7f46143c0 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:04.3285575Z | Correlation=5ff125e3118445a694838bc7f46143c0 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:09:04.5980944Z | Correlation=5ff125e3118445a694838bc7f46143c0 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Audit stored successfully
