2026-02-19T06:41:47.0261807Z | Correlation=ce12372d80424179969266162197eb79 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1807 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:41:58.6378272Z | Correlation=ce12372d80424179969266162197eb79 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1807 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:41:58.6458512Z | Correlation=75f5f734932e48ff9db229df6bb5cd4c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1808 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:01.2868158Z | Correlation=75f5f734932e48ff9db229df6bb5cd4c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1808 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:01.2922469Z | Correlation=15c6aa5d1f4a41ee89288a1a6fcda272 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1809 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:03.2821146Z | Correlation=15c6aa5d1f4a41ee89288a1a6fcda272 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1809 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:03.2870960Z | Correlation=399da467a4de4f84ba33076f890becf4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1810 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:05.3050863Z | Correlation=399da467a4de4f84ba33076f890becf4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1810 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:05.3101422Z | Correlation=326f037b4be24848aa42074d456b408c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1811 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:07.3594664Z | Correlation=326f037b4be24848aa42074d456b408c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1811 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:07.3755404Z | Correlation=01d96b93dc4f479a97e50cfeec5b5a99 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1812 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:09.8243409Z | Correlation=01d96b93dc4f479a97e50cfeec5b5a99 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1812 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:09.8343771Z | Correlation=197dc8ae38ed4cec80824d2e73668af4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1813 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:12.0280428Z | Correlation=197dc8ae38ed4cec80824d2e73668af4 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1813 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:12.0353229Z | Correlation=f36d6906d97e4a3884e83a1527a5c546 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1814 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:14.8104869Z | Correlation=f36d6906d97e4a3884e83a1527a5c546 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1814 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:14.8164686Z | Correlation=5c4f9c9645f14315b61be65ec7f4e7b2 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1815 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:17.3268359Z | Correlation=5c4f9c9645f14315b61be65ec7f4e7b2 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1815 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:17.3330014Z | Correlation=ebb3dbfbaa5549908d0359c6127ee6db | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1816 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:19.6025420Z | Correlation=ebb3dbfbaa5549908d0359c6127ee6db | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1816 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:19.6099598Z | Correlation=9b064c3e1c394a469a85fce347482960 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1817 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:21.5723353Z | Correlation=9b064c3e1c394a469a85fce347482960 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1817 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:21.5779163Z | Correlation=cb335541433d48c981f4f70520c6b149 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1818 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:23.5488020Z | Correlation=cb335541433d48c981f4f70520c6b149 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1818 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:23.5532766Z | Correlation=c05f7c51cae44ff9a5482898e28ad9a7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1819 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:25.5271155Z | Correlation=c05f7c51cae44ff9a5482898e28ad9a7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1819 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:25.5350717Z | Correlation=60c660f5773f4e5b81d74aaad32514de | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1820 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:27.4982774Z | Correlation=60c660f5773f4e5b81d74aaad32514de | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1820 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-19T06:42:27.5045118Z | Correlation=ce19cecb1d8c42f6a53bd9e1dd0739a7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1821 | Status=SUCCESS | Message=Telemetry message received
2026-02-19T06:42:29.4543225Z | Correlation=ce19cecb1d8c42f6a53bd9e1dd0739a7 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1821 | Status=SUCCESS | Message=Telemetry processed successfully
