2026-02-23T06:32:40.2349772Z | Correlation=d23e26249e834adc8d3fc9aee3ca28fe | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4180 | Status=SUCCESS | Message=Telemetry message received
2026-02-23T06:32:50.6515224Z | Correlation=d23e26249e834adc8d3fc9aee3ca28fe | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4180 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-23T06:32:50.6568861Z | Correlation=e858a4d994dd434e88f3b7e6c9408680 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4181 | Status=SUCCESS | Message=Telemetry message received
2026-02-23T06:32:52.7130972Z | Correlation=e858a4d994dd434e88f3b7e6c9408680 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4181 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-23T06:32:52.7173905Z | Correlation=a8fb785b1d08400b9b600dab8a603387 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4182 | Status=SUCCESS | Message=Telemetry message received
2026-02-23T06:32:54.7451734Z | Correlation=a8fb785b1d08400b9b600dab8a603387 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4182 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-23T06:32:54.7504777Z | Correlation=60b8326a33d94c55b8a39d090bcb296c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4183 | Status=SUCCESS | Message=Telemetry message received
2026-02-23T06:32:56.7541482Z | Correlation=60b8326a33d94c55b8a39d090bcb296c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4183 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-23T06:32:56.7577555Z | Correlation=1f8c77c0d7924ed2a5c856865c80e6c5 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4184 | Status=SUCCESS | Message=Telemetry message received
2026-02-23T06:32:58.7970692Z | Correlation=1f8c77c0d7924ed2a5c856865c80e6c5 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4184 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-23T06:32:58.8012187Z | Correlation=0222a9dfa7d74b1c83bf8e52b3c5b09f | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4185 | Status=SUCCESS | Message=Telemetry message received
2026-02-23T06:33:00.7895137Z | Correlation=0222a9dfa7d74b1c83bf8e52b3c5b09f | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4185 | Status=SUCCESS | Message=Telemetry processed successfully
