2026-03-11T06:11:25.1419036Z | Correlation=8bcf4b6cc2134dcaa893cd6b4ac53889 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=433 | Status=SUCCESS | Message=Telemetry message received
2026-03-11T06:11:39.3163931Z | Correlation=8bcf4b6cc2134dcaa893cd6b4ac53889 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=433 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-11T06:11:39.3837141Z | Correlation=c4fb41dcee484bfdbbeb63a120c20971 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=434 | Status=SUCCESS | Message=Telemetry message received
2026-03-11T06:11:39.9843174Z | Correlation=c4fb41dcee484bfdbbeb63a120c20971 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=434 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-11T06:11:40.0403067Z | Correlation=0393ff413ec643e4977935ea58f88038 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=435 | Status=SUCCESS | Message=Telemetry message received
2026-03-11T06:11:40.6960522Z | Correlation=0393ff413ec643e4977935ea58f88038 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=435 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-11T06:11:40.7028614Z | Correlation=52d3ed7876334802b099a44de87d4c5b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=436 | Status=SUCCESS | Message=Telemetry message received
2026-03-11T06:11:41.4917770Z | Correlation=52d3ed7876334802b099a44de87d4c5b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=436 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-11T06:11:41.5174059Z | Correlation=14a01e020fff435cb97fc515c64352bc | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=437 | Status=SUCCESS | Message=Telemetry message received
2026-03-11T06:11:42.0448459Z | Correlation=14a01e020fff435cb97fc515c64352bc | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=437 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-11T06:11:44.1373877Z | Correlation=7d05eb075e6d43eeb9e7aad48df19277 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=438 | Status=SUCCESS | Message=Telemetry message received
