2026-02-10T10:59:23.6787212Z | Correlation=32d4ec56eaa5489b8523839225fda7a5 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:04.8643362Z | Correlation=dab6643261b14d15a4b93e4bb96667e9 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:40.2117928Z | Correlation=dab6643261b14d15a4b93e4bb96667e9 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:45.4553096Z | Correlation=12afe22f9b1d40a9abd0547a8a33f629 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:52.8789403Z | Correlation=12afe22f9b1d40a9abd0547a8a33f629 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:55.8969863Z | Correlation=7a2d5d358f3d4d188752277f52d39afb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:55.9197204Z | Correlation=7a2d5d358f3d4d188752277f52d39afb | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:55.9309848Z | Correlation=b05d32a720a742c4b415c495455fca51 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:55.9758726Z | Correlation=b05d32a720a742c4b415c495455fca51 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:55.9827327Z | Correlation=bf39c776fa434e4598b6a61a92c81948 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.0044918Z | Correlation=bf39c776fa434e4598b6a61a92c81948 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.0083462Z | Correlation=bcfbe29b0b0447c597f7af67cc92e227 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.0257872Z | Correlation=bcfbe29b0b0447c597f7af67cc92e227 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.0335596Z | Correlation=5a380ae6e9e54fc2948d154293940b5d | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.0529195Z | Correlation=5a380ae6e9e54fc2948d154293940b5d | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.0664361Z | Correlation=77fb74b256f8441493a7d002cbf39bfe | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.0885517Z | Correlation=77fb74b256f8441493a7d002cbf39bfe | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.0925389Z | Correlation=2a306f1d61524c53af9d1e926d786f3c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.1060733Z | Correlation=2a306f1d61524c53af9d1e926d786f3c | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.1112620Z | Correlation=07ec76482e094c7eb5c3202e919e0607 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.1352308Z | Correlation=07ec76482e094c7eb5c3202e919e0607 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.1392958Z | Correlation=c77685f2260f483fa6dc4694a6c892b9 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.1525013Z | Correlation=c77685f2260f483fa6dc4694a6c892b9 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.1574940Z | Correlation=668c21197aa04f71a98d564370a5c486 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry message received
2026-02-10T11:05:56.1703476Z | Correlation=668c21197aa04f71a98d564370a5c486 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-10T11:05:56.1745099Z | Correlation=ec1d8451c9bb4799a87535c5b18d81bc | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry message received
