2026-02-16T11:11:20.1621562Z | Correlation=67fec32c9abc493ea2ba894a860aeb11 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:33.5058753Z | Correlation=67fec32c9abc493ea2ba894a860aeb11 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:33.5142648Z | Correlation=1683cf6a0f5f4059bc357b35fd8b9522 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:35.6142613Z | Correlation=1683cf6a0f5f4059bc357b35fd8b9522 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:35.6186196Z | Correlation=65050822b1d343a6a5d7175dba431f9a | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:37.6933799Z | Correlation=65050822b1d343a6a5d7175dba431f9a | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:37.6984370Z | Correlation=b4ef0b74634b405e9827b17be42da92b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:40.5786468Z | Correlation=b4ef0b74634b405e9827b17be42da92b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:40.5923057Z | Correlation=544a12f27af44d17b7e417d6d27241ee | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:42.7037311Z | Correlation=544a12f27af44d17b7e417d6d27241ee | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:42.7133482Z | Correlation=2905d2e66b714afe8523ca258df0e971 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:44.8083695Z | Correlation=2905d2e66b714afe8523ca258df0e971 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:44.8120868Z | Correlation=403a7ec37ef14028bebef28593208dab | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:46.8843409Z | Correlation=403a7ec37ef14028bebef28593208dab | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:46.8913646Z | Correlation=eec074a69a7b40bc80fe3332b84c7be3 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:48.9639379Z | Correlation=eec074a69a7b40bc80fe3332b84c7be3 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:48.9814078Z | Correlation=d679849e973b49d391b0fa45283b9955 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:51.0455549Z | Correlation=d679849e973b49d391b0fa45283b9955 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:51.0511393Z | Correlation=0fb2cab682b846caa48a872b5be27b6f | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Telemetry message received
2026-02-16T11:11:53.1295740Z | Correlation=0fb2cab682b846caa48a872b5be27b6f | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-16T11:11:53.1348539Z | Correlation=60f6720017684fdfa53e66dc242a8204 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Telemetry message received
