2026-03-03T10:49:13.3521819Z | Correlation=b561a327b2894ad48f20fe10d145f880 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry message received
2026-03-03T10:49:22.8435033Z | Correlation=b561a327b2894ad48f20fe10d145f880 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-03T10:49:22.8526344Z | Correlation=a3b0682d04b5484d939a48f032db2ce1 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry message received
2026-03-03T10:49:23.3785169Z | Correlation=a3b0682d04b5484d939a48f032db2ce1 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-03T10:49:23.3905475Z | Correlation=0663bbb85c4a492b93eef74f43733382 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry message received
2026-03-03T10:49:23.9470502Z | Correlation=0663bbb85c4a492b93eef74f43733382 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-03T10:49:23.9527162Z | Correlation=aba1111c066a4be8878e7de39f979b69 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry message received
2026-03-03T10:49:24.4646466Z | Correlation=aba1111c066a4be8878e7de39f979b69 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-03T10:49:24.4823321Z | Correlation=4e87e8babb1945008e92b8c73f183e01 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry message received
2026-03-03T10:49:24.9867469Z | Correlation=4e87e8babb1945008e92b8c73f183e01 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-03T10:49:24.9933452Z | Correlation=7323435c7e99421c96bfaf8688100bad | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Telemetry message received
