2026-03-06T05:50:22.7461668Z | Correlation=51ce7a05e35b4feeb98b02ef9f800750 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1988 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:38.7852538Z | Correlation=51ce7a05e35b4feeb98b02ef9f800750 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1988 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:38.8159543Z | Correlation=ffd8a04fc5444629b3b0e47ae76df37b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1989 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:39.3298396Z | Correlation=ffd8a04fc5444629b3b0e47ae76df37b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1989 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:39.3715042Z | Correlation=c1cd4f3e8ab34f909babd2e60c224849 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1990 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:40.2429769Z | Correlation=c1cd4f3e8ab34f909babd2e60c224849 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1990 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:40.2558985Z | Correlation=fa824339905d4a46b8289fc8ddf45dd0 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1991 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:40.9834254Z | Correlation=fa824339905d4a46b8289fc8ddf45dd0 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1991 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:41.1031268Z | Correlation=cb5ec42f85cb4a3594b885a29f3f482b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1992 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:41.6622479Z | Correlation=cb5ec42f85cb4a3594b885a29f3f482b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1992 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:41.6720789Z | Correlation=7d17ce7612574ea494adbe67804c8c17 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1993 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:42.2157136Z | Correlation=7d17ce7612574ea494adbe67804c8c17 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1993 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:42.2221216Z | Correlation=72d29c4db6d14fceade25649643e12c0 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1994 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:42.7423483Z | Correlation=72d29c4db6d14fceade25649643e12c0 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1994 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:42.7575794Z | Correlation=422fb432ef79474887ffd45ae2cacdcc | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1995 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:43.8039877Z | Correlation=422fb432ef79474887ffd45ae2cacdcc | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1995 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:43.8144145Z | Correlation=cb2719ef612246c0ac70f24dc6e47f15 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1996 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:44.3346628Z | Correlation=cb2719ef612246c0ac70f24dc6e47f15 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1996 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:44.3441303Z | Correlation=eca762630cf24cbf8aae2b47377b1859 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1997 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:44.9822890Z | Correlation=eca762630cf24cbf8aae2b47377b1859 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1997 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:44.9900670Z | Correlation=7b0a5436783942289219e9f0755ede79 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1998 | Status=SUCCESS | Message=Telemetry message received
2026-03-06T05:50:45.4997613Z | Correlation=7b0a5436783942289219e9f0755ede79 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1998 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-06T05:50:45.5068410Z | Correlation=ecf4ef12c51944f5b0ba35e321b28ff2 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1999 | Status=SUCCESS | Message=Telemetry message received
