2026-03-12T06:11:09.3988587Z | Correlation=c17788757eb4434d83787ae89b714c5e | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=348 | Status=SUCCESS | Message=Telemetry message received
2026-03-12T06:11:30.2950541Z | Correlation=c17788757eb4434d83787ae89b714c5e | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=348 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-12T06:11:30.4132727Z | Correlation=dc7d3e79a2634101888c61e6a6c40ae1 | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=349 | Status=SUCCESS | Message=Telemetry message received
2026-03-12T06:11:32.9216905Z | Correlation=dc7d3e79a2634101888c61e6a6c40ae1 | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=349 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-12T06:11:32.9254974Z | Correlation=6cfa46d99e5b44ac87ab8a09e4edc133 | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=350 | Status=SUCCESS | Message=Telemetry message received
2026-03-12T06:11:34.8909446Z | Correlation=6cfa46d99e5b44ac87ab8a09e4edc133 | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=350 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-12T06:11:34.9066233Z | Correlation=70969d80ff9749bca22d35f2dea65e1b | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=351 | Status=SUCCESS | Message=Telemetry message received
2026-03-12T06:11:36.9136242Z | Correlation=70969d80ff9749bca22d35f2dea65e1b | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=351 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-12T06:11:36.9259205Z | Correlation=602e7410e2e947c1a345aa2de50405cd | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=352 | Status=SUCCESS | Message=Telemetry message received
2026-03-12T06:11:39.8521482Z | Correlation=602e7410e2e947c1a345aa2de50405cd | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=352 | Status=SUCCESS | Message=Telemetry processed successfully
2026-03-12T06:11:39.8624575Z | Correlation=b78c40e2f244415b8839c12796d0515c | Tenant=78 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=353 | Status=SUCCESS | Message=Telemetry message received
