2026-02-05T06:21:56.7220509Z | Correlation=c8574ed8b22b406e81c76280fa7af62f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops/1/devices/TEST001/telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-05T06:27:59.4364141Z | Correlation=c8574ed8b22b406e81c76280fa7af62f | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops/1/devices/TEST001/telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-05T06:54:03.7542852Z | Correlation=3c36ed581f6f4dbda0782cf36929b5c1 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops/1/devices/TEST001/telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-05T08:33:44.0956382Z | Correlation=f7f1e5c799964f19ae4c57644c82aa95 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-05T08:37:15.7835807Z | Correlation=003bca06-9847-48a4-a256-8efc988ddb2b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-05T08:48:50.0552305Z | Correlation=f7f1e5c799964f19ae4c57644c82aa95 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-05T08:49:13.8987017Z | Correlation=46a004fa-806e-46c7-81b1-aaca73b45bc3 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-05T08:52:51.5287817Z | Correlation=003bca06-9847-48a4-a256-8efc988ddb2b | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-05T09:09:01.0523995Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-05T09:09:01.3683237Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message delivered
2026-02-05T09:09:01.3726867Z | Correlation=fc6e9a5a831843caa9cfdc74958d855e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-05T09:09:02.1257000Z | Correlation=fc6e9a5a831843caa9cfdc74958d855e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message delivered
