2026-02-10T05:41:45.0632598Z | Correlation=27643376f49946a1a4865f2c0356c694 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T05:47:47.9447891Z | Correlation=27643376f49946a1a4865f2c0356c694 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-10T05:57:56.5347560Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factory-telemetry-dlq | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T06:11:40.5377628Z | Correlation=c844c6de74c04969b39c9ff0330dc6e0 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T06:17:09.9636651Z | Correlation=60831bf116bd45bf82cfc28c773d7d4f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T06:32:13.5975905Z | Correlation=ae5c108d536e472c90f2f4780c019f2a | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T06:37:20.0328597Z | Correlation=ba51674fdddc40a29e60fd306eb96672 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T06:43:22.4539883Z | Correlation=ba51674fdddc40a29e60fd306eb96672 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-10T07:14:11.9275578Z | Correlation=35bb11d3195e4bd882bf722494c1b87b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T07:19:21.6222192Z | Correlation=0f89398b3dbd4c7e92b561d721263e4c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T07:23:18.4521036Z | Correlation=cedbd00102014490b89fef7e57171a2c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T07:30:37.4863319Z | Correlation=949e9c31d7cb4ca4aed3d7edea1799b9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T07:31:25.6503270Z | Correlation=f448ce11-004e-4e52-980a-92cb6340c089 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T07:36:40.3725722Z | Correlation=949e9c31d7cb4ca4aed3d7edea1799b9 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-10T07:37:27.6929674Z | Correlation=f448ce11-004e-4e52-980a-92cb6340c089 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-10T07:45:55.8515157Z | Correlation=6590ccfd-e2d7-4b86-858f-02fcd4a5a1db | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-10T07:46:48.1969766Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factory-telemetry-dlq | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
