2026-02-16T11:01:48.2790655Z | Correlation=395d4735b2454792b8e1ef2b8a813633 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:07:51.4211846Z | Correlation=395d4735b2454792b8e1ef2b8a813633 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-16T11:09:45.4512089Z | Correlation=17ef1717-0a3c-4fdd-833c-0db9c4cbcfae | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.1.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:11:34.1953828Z | Correlation=a95ee6c8d89a4ba2b50073b56f4bfdd9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:11:34.2920894Z | Correlation=a95ee6c8d89a4ba2b50073b56f4bfdd9 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=851 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:11:37.3473186Z | Correlation=38bd551151c24d8288339971b6eeb41d | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:11:37.3865957Z | Correlation=38bd551151c24d8288339971b6eeb41d | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=852 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:11:46.2498573Z | Correlation=284f12661eef4b43a91b2ac02251a731 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:11:46.3106468Z | Correlation=284f12661eef4b43a91b2ac02251a731 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=853 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:11:51.4138165Z | Correlation=e367f936aa8f4a0d8ed50c51d3daeddd | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:11:51.4744253Z | Correlation=e367f936aa8f4a0d8ed50c51d3daeddd | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=854 | Status=SUCCESS | Message=Kafka message delivered
