2026-03-05T08:31:19.7885672Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factory-telemetry-dlq | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T08:31:20.0735283Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCED | Topic=factory-telemetry-dlq | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T08:32:17.9831036Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factory-telemetry-dlq | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T08:32:18.0268810Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCED | Topic=factory-telemetry-dlq | Partition=0 | Offset=4 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.1410923Z | Correlation=41c1a4e52cba4cd5a323fb8d05ae3f8e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T10:46:42.3471226Z | Correlation=41c1a4e52cba4cd5a323fb8d05ae3f8e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=286 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.3713521Z | Correlation=2c44cd56761d43949fcbb27437b56913 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T10:46:42.4341273Z | Correlation=2c44cd56761d43949fcbb27437b56913 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=287 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.4518311Z | Correlation=90c60c8290fb45549dc0ebb2ba9c75c0 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T10:46:42.5487561Z | Correlation=90c60c8290fb45549dc0ebb2ba9c75c0 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=288 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.5628230Z | Correlation=f9b92d8356c048e9874c6799acb42242 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T10:46:42.6177074Z | Correlation=f9b92d8356c048e9874c6799acb42242 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=289 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.6286445Z | Correlation=c7a1d9236a3541aaa69e9ec6d48a9063 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T10:46:42.6854417Z | Correlation=c7a1d9236a3541aaa69e9ec6d48a9063 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=290 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.7151470Z | Correlation=afb08bb93ff24e4dbb82257d03eeabba | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T10:46:42.7603523Z | Correlation=afb08bb93ff24e4dbb82257d03eeabba | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=291 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.7883676Z | Correlation=165c944c84f9407e885cbea685378296 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-05T10:46:42.8783790Z | Correlation=165c944c84f9407e885cbea685378296 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=292 | Status=SUCCESS | Message=Kafka message delivered
2026-03-05T10:46:42.8941471Z | Correlation=27c71a526ce74a4e9f7b18159dc2e835 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
