2026-03-06T05:27:04.6629380Z | Correlation=0cfdbf27-db97-4a41-9e5b-b0ebe2ed89b8 | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.createworkorderasync.78.created | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-06T05:27:06.7207033Z | Correlation=0cfdbf27-db97-4a41-9e5b-b0ebe2ed89b8 | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.createworkorderasync.78.created | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message delivered
2026-03-06T05:50:22.1519280Z | Correlation=51ce7a05e35b4feeb98b02ef9f800750 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-06T05:50:22.4486150Z | Correlation=51ce7a05e35b4feeb98b02ef9f800750 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1988 | Status=SUCCESS | Message=Kafka message delivered
2026-03-06T05:50:22.4559267Z | Correlation=ffd8a04fc5444629b3b0e47ae76df37b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-06T05:50:22.6887656Z | Correlation=ffd8a04fc5444629b3b0e47ae76df37b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1989 | Status=SUCCESS | Message=Kafka message delivered
2026-03-06T05:50:22.7000291Z | Correlation=c1cd4f3e8ab34f909babd2e60c224849 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-06T05:50:22.7651473Z | Correlation=c1cd4f3e8ab34f909babd2e60c224849 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1990 | Status=SUCCESS | Message=Kafka message delivered
2026-03-06T05:50:22.7688253Z | Correlation=fa824339905d4a46b8289fc8ddf45dd0 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-06T05:50:22.8143845Z | Correlation=fa824339905d4a46b8289fc8ddf45dd0 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=0 | Offset=1991 | Status=SUCCESS | Message=Kafka message delivered
2026-03-06T05:50:22.8182500Z | Correlation=cb5ec42f85cb4a3594b885a29f3f482b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.DEV001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
