2026-02-19T06:33:35.3012511Z | Correlation=d84ba42b9bc84595b5223dbdef850473 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:39:39.5739908Z | Correlation=d84ba42b9bc84595b5223dbdef850473 | Tenant=1 | Service=KafkaProducerService | Stage=FAILED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=ERROR | Message=N/A | Error=Local: Message timed out
2026-02-19T06:41:37.4044982Z | Correlation=d84ba42b9bc84595b5223dbdef850473 | Tenant=1 | Service=KafkaProducerService | Stage=DLQ_ROUTED | Topic=factory-telemetry-dlq | Partition=0 | Offset=0 | Status=WARNING | Message=Message routed from factoryops.1.devices.Dev001.telemetry to DLQ
2026-02-19T06:41:39.8876264Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factory-telemetry-dlq | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:39.9341955Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCED | Topic=factory-telemetry-dlq | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.0425666Z | Correlation=15c6aa5d1f4a41ee89288a1a6fcda272 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:41.0796991Z | Correlation=15c6aa5d1f4a41ee89288a1a6fcda272 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1809 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.0851665Z | Correlation=399da467a4de4f84ba33076f890becf4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:41.1254932Z | Correlation=399da467a4de4f84ba33076f890becf4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1810 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.1293061Z | Correlation=326f037b4be24848aa42074d456b408c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:41.1723333Z | Correlation=326f037b4be24848aa42074d456b408c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1811 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.1761060Z | Correlation=01d96b93dc4f479a97e50cfeec5b5a99 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:41.2173682Z | Correlation=01d96b93dc4f479a97e50cfeec5b5a99 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1812 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.2220159Z | Correlation=197dc8ae38ed4cec80824d2e73668af4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:41.2660001Z | Correlation=197dc8ae38ed4cec80824d2e73668af4 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1813 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.2704890Z | Correlation=f36d6906d97e4a3884e83a1527a5c546 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:41.3119714Z | Correlation=f36d6906d97e4a3884e83a1527a5c546 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1814 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.3162097Z | Correlation=5c4f9c9645f14315b61be65ec7f4e7b2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-19T06:41:41.3588074Z | Correlation=5c4f9c9645f14315b61be65ec7f4e7b2 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=1815 | Status=SUCCESS | Message=Kafka message delivered
2026-02-19T06:41:41.3629261Z | Correlation=ebb3dbfbaa5549908d0359c6127ee6db | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
