2026-03-11T04:49:59.1419910Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factory-telemetry-dlq | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T04:49:59.5047655Z | Correlation= | Tenant=N/A | Service=KafkaProducerService | Stage=PRODUCED | Topic=factory-telemetry-dlq | Partition=0 | Offset=7 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:24.4675057Z | Correlation=8bcf4b6cc2134dcaa893cd6b4ac53889 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:24.6332732Z | Correlation=8bcf4b6cc2134dcaa893cd6b4ac53889 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=433 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:26.9689158Z | Correlation=c4fb41dcee484bfdbbeb63a120c20971 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:27.0559100Z | Correlation=c4fb41dcee484bfdbbeb63a120c20971 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=434 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:31.6544890Z | Correlation=0393ff413ec643e4977935ea58f88038 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:31.7643109Z | Correlation=0393ff413ec643e4977935ea58f88038 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=435 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:35.6563155Z | Correlation=52d3ed7876334802b099a44de87d4c5b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:35.7053276Z | Correlation=52d3ed7876334802b099a44de87d4c5b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=436 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:39.7177534Z | Correlation=14a01e020fff435cb97fc515c64352bc | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:39.9069520Z | Correlation=14a01e020fff435cb97fc515c64352bc | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=437 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:43.9611757Z | Correlation=7d05eb075e6d43eeb9e7aad48df19277 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:44.0039191Z | Correlation=7d05eb075e6d43eeb9e7aad48df19277 | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=438 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:47.9739155Z | Correlation=471805d71e5543d6a87ce88d967e3f4b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:48.0381785Z | Correlation=471805d71e5543d6a87ce88d967e3f4b | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=439 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:51.9577396Z | Correlation=21f02c15c31f4411a836742d2bc1a66e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-11T06:11:52.0008401Z | Correlation=21f02c15c31f4411a836742d2bc1a66e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=440 | Status=SUCCESS | Message=Kafka message delivered
2026-03-11T06:11:55.9684577Z | Correlation=a3ce068e88914cd7aed321efe5de098e | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
