2026-03-12T06:11:08.5594832Z | Correlation=c17788757eb4434d83787ae89b714c5e | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-12T06:11:08.8331044Z | Correlation=c17788757eb4434d83787ae89b714c5e | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=348 | Status=SUCCESS | Message=Kafka message delivered
2026-03-12T06:11:15.8722868Z | Correlation=dc7d3e79a2634101888c61e6a6c40ae1 | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-12T06:11:15.9609692Z | Correlation=dc7d3e79a2634101888c61e6a6c40ae1 | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=349 | Status=SUCCESS | Message=Kafka message delivered
2026-03-12T06:11:19.7716573Z | Correlation=6cfa46d99e5b44ac87ab8a09e4edc133 | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-12T06:11:19.8073944Z | Correlation=6cfa46d99e5b44ac87ab8a09e4edc133 | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=350 | Status=SUCCESS | Message=Kafka message delivered
2026-03-12T06:11:23.8367121Z | Correlation=70969d80ff9749bca22d35f2dea65e1b | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-12T06:11:23.9213652Z | Correlation=70969d80ff9749bca22d35f2dea65e1b | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=351 | Status=SUCCESS | Message=Kafka message delivered
2026-03-12T06:11:28.0927488Z | Correlation=602e7410e2e947c1a345aa2de50405cd | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-03-12T06:11:28.1763659Z | Correlation=602e7410e2e947c1a345aa2de50405cd | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=0 | Offset=352 | Status=SUCCESS | Message=Kafka message delivered
2026-03-12T06:11:32.0648410Z | Correlation=b78c40e2f244415b8839c12796d0515c | Tenant=78 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.78.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
