2026-02-05T09:08:41.3313176Z | Correlation=6e8eda76fc9b4193a06d6f6aea52dc59 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:08:44.0756778Z | Correlation=6e8eda76fc9b4193a06d6f6aea52dc59 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Processing started
2026-02-05T09:08:44.2109221Z | Correlation=6e8eda76fc9b4193a06d6f6aea52dc59 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:08:44.2496981Z | Correlation=aa0ab2af84364015b9cc9d61420a994e | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:08:44.3137718Z | Correlation=aa0ab2af84364015b9cc9d61420a994e | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Processing started
2026-02-05T09:08:44.3489819Z | Correlation=aa0ab2af84364015b9cc9d61420a994e | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:01.4234377Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:01.4494242Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:01.4666099Z | Correlation=234176f7846b45b7803a540535b657d2 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:04.4359354Z | Correlation=5ff125e3118445a694838bc7f46143c0 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:04.4431379Z | Correlation=5ff125e3118445a694838bc7f46143c0 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:04.4699039Z | Correlation=5ff125e3118445a694838bc7f46143c0 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:09.9775487Z | Correlation=8de32a7cf48c4b2e844f026fce48d6af | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:09.9828903Z | Correlation=8de32a7cf48c4b2e844f026fce48d6af | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:10.0099231Z | Correlation=8de32a7cf48c4b2e844f026fce48d6af | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=4 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:19.0366445Z | Correlation=2c09e2cba89945859af049bb66ed6b41 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:19.0610053Z | Correlation=2c09e2cba89945859af049bb66ed6b41 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:19.0777200Z | Correlation=2c09e2cba89945859af049bb66ed6b41 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=5 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:30.7525557Z | Correlation=34e80e178da148109774bd5d8943e4b2 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:30.7619685Z | Correlation=34e80e178da148109774bd5d8943e4b2 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:30.7830058Z | Correlation=34e80e178da148109774bd5d8943e4b2 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=6 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:36.8022251Z | Correlation=33514caa419f40769d802e73545f1a91 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:36.8125620Z | Correlation=33514caa419f40769d802e73545f1a91 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:36.8385173Z | Correlation=33514caa419f40769d802e73545f1a91 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=7 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:41.8492388Z | Correlation=0ef483a147dc4b30905ba25b76d796ed | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:41.8656802Z | Correlation=0ef483a147dc4b30905ba25b76d796ed | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:41.8913325Z | Correlation=0ef483a147dc4b30905ba25b76d796ed | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=8 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:45.3841957Z | Correlation=33e6e04f897e4371bf5e8cb7000b7506 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:45.3912629Z | Correlation=33e6e04f897e4371bf5e8cb7000b7506 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:45.4119143Z | Correlation=33e6e04f897e4371bf5e8cb7000b7506 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=9 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:55.5714909Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:55.5786882Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:55.6071077Z | Correlation=88e5a959f16648609530abd3f0136b4f | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=10 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:09:59.6235266Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:09:59.6483701Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Processing started
2026-02-05T09:09:59.6635006Z | Correlation=f0779c1ad5354617a48c9969e0073084 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=11 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:10:10.1109741Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:10.1190857Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Processing started
2026-02-05T09:10:10.1441253Z | Correlation=8b68344e35ab4afba00c4f8fabb9c10e | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:10:32.4527788Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:32.4591201Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Processing started
2026-02-05T09:10:32.5088907Z | Correlation=9904678234e549c193e59cbf59773e7c | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:10:37.0342956Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:10:37.0747014Z | Correlation=faccf2d7c2b347449aa8e1b6cb603c45 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Processing started
